0,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",6183,Azhar JuMan,Works on linux for me. Get the model with antenna.,0.5094,0.6137078721814757,Computers&Accessories
0,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",504,Anirudh Sood,Does what it say but other brands available at lesser price,0.0515,0.6137078721814757,Computers&Accessories
0,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",362,Hari Krishnan PS,Easy Handle,0.4096,0.6137078721814757,Computers&Accessories
0,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",7928,Akash Jindal,Great product,0.9309,0.6137078721814757,Computers&Accessories
0,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",48,PRADEEP,Perfect working,0.7566,0.6137078721814757,Computers&Accessories
0,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",7426,Rajesh,Speed is perfect,0.8408,0.6137078721814757,Computers&Accessories
0,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",3411,Divya Kothari,Great Design,0.8473,0.6137078721814757,Computers&Accessories
0,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",7879,abhijit, Build,0.3033,0.6137078721814757,Computers&Accessories
1,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,4375,T N Sivaji,Works Good,0.8939,0.5621487437279398,Electronics
1,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,5353,Akku,Perfect replacement cell for trimmer,0.6607,0.5621487437279398,Electronics
1,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,6304,V,Wow,0.6477,0.5621487437279398,Electronics
1,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,7317,Meet,As they said in ad worth it,0.3799,0.5621487437279398,Electronics
1,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,4108,MOHAMMED,A good product,0.9129,0.5621487437279398,Electronics
1,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,4736,Niranjan koyri,Fit for phillips trimmer.,0.1236,0.5621487437279398,Electronics
1,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,6972,Tamil selvan,Good,0.6098,0.5621487437279398,Electronics
1,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,7652,Puneet S.,Good Product,0.829,0.5621487437279398,Electronics
2,"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",302,Uday Joglekar,Handy Mouse,0.1923,0.5708540608444017,Computers&Accessories
2,"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",1627,Simi Singh,Good quality mouse,0.7858,0.5708540608444017,Computers&Accessories
2,"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",1656,Hi,Good one.,0.8919,0.5708540608444017,Computers&Accessories
