B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",AGV3IEFANZCKECFGUM42MRH5FNOA,Azhar JuMan,Works on linux for me. Get the model with antenna.,0.5094,0.6137078721814757
B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",AEBO7NWCNXKT4AESAN443HQH35FQ,Anirudh Sood,Does what it say but other brands available at lesser price,0.0515,0.6137078721814757
B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",AE7GD3VRRYQEAHDR7FXJIR23INYA,Hari Krishnan PS,Easy Handle,0.4096,0.6137078721814757
B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",AHPAW24BI5X2GCX5M2LHI72VSJJQ,Akash Jindal,Great product,0.9309,0.6137078721814757
B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",AE2VXY4CFO36MDSIMPG43XHNF4GA,PRADEEP,Perfect working,0.7566,0.6137078721814757
B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",AHHQEKUNVETALN7DTRHUQ2WAWEKQ,Rajesh,Speed is perfect,0.8408,0.6137078721814757
B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",AFMIFTNTUD5PIHGONWOTRMMZ5EBA,Divya Kothari,Great Design,0.8473,0.6137078721814757
B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",AHOJBIZVVIIFJKRREY4B6ESVA4KA,abhijit, Build,0.3033,0.6137078721814757
B003B00484,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,AG2ICOYPSOV5SGBKFEYHGKCNK7PA,T N Sivaji,Works Good,0.8939,0.5621487437279398
B003B00484,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,AGJ3OQ4X262D3MAQZ3CLCRVR5R3Q,Akku,Perfect replacement cell for trimmer,0.6607,0.5621487437279398
B003B00484,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,AGWXCIC2IWWGNN5I4QTFMPSLSTHQ,V,Wow,0.6477,0.5621487437279398
